Comment,is_positive
"Shitty game Full of advertisements, force u to loose so that u will use real money, damm unfair. In 10 arena matches, enemy begins first in 8. Hahaha great coin flip.",0
Its good but the controls disappear sometimes and its frustating,0
Toddlers Education Kit,1
Love it I played 1000000 and got so excited ymbab was coming out I didn't think it could get any better,1
Free mobile recharge idea  Amazing app. best app to earn talktime. I used this and got free mobile recharge. great app. I strongly recommend everybody to give 5 star to this app.,1
It dont work When it says import combos from alchemy free it then doesn't import anything total rubbish,0
Super why phonics Wouldn't complete download them wouldn't refund,0
I loved this game Very much muje ye game sabse accha laga hai bahut hi jayado i love this game very much it was so aweusom,1
Great conversion Excellent conversion of the board game with extras like turn based tile picking and campaign mode,1
"Awesome My kids LOVE this app. Well worth it, it keeps them entertained in the car and at restaurants.",1
"Crashes on high settings on galaxy s6, the most powerful device now. Just pitiful.",0
This game is very nice,1
"Lee rylance Great app,i use this for everything that relies on the weather.",1
"Lags Good game, very choppy. Lots of glitches. Fix I'll give it a 5",0
Sucks If you make a first down and get tackeled its not a first down. The worst yards. Who cqme up with 1st and 50 It just sucks,0
Add this Add boxes an magic islands with dungeons and add multiplayer oops I mean bosses not boxes p oops,1
"This game has a lot of bugs to fix The music is not in sync with the character which is the whole point, everytime you pause the game the music starts over and I die automatically Developers, you have some work to do.",0
Kawaii Wow just wow,1
No Atlanta How does this app not cover the largest city in the south east,0
"Oh my Literally just spent about 15 hours straight, what a waste of a day off but what a good game it is, any know of what other games are out there like this Price doesn't matter",1
"Paid 2 unlock full version,  where's my game Don't buy games very often but not happy I haven't received what I paid 4",0
Watch your money. Great game but designed to rob you blind. Not possible to progress to the higher levels without spending money  lots of money.,0
"Hmmm Looks like a good app, but how to change language It said it's available in 4 languages. Couldn't find that option",0
bakwas fzool .folish .time waste .its only i p l .,0
"Spettacolare Difficile dire qualcosa su questa app, ha tutto ci che possiate desiderare Con gli widget  ancora pi avanti",1
Love this game Now I understand this game and now enjoying it,1
Stupid game No tutorial.  Loud random music. Ok graphics,0
Nice Got my PRO back from 9GAG First,1
"It was so cool At first I thought that i had seriously locked myself out, but then I realized that you just press the home button, which takes you to your actual lock screen. This was cool.",1
"Learning  how to play building games. I rate this game, a five because I  like the idea of the cards to  help  in the  battles. I am  getting the  hang of it, even though I  just  started  playing  yesterday.",1
Tina Wright A VERY COOL APP....,1
Its a lovely app Its is working very good.excellent  job,1
Useful game ... It only need a worldcup  MUMH No idea,1
Love it It's literally the only app that I've found for my rooted Boost Mobile LG Tribute phone that gets passed the tether block Totally worth the few bucks. Keep up the good work Fobio,1
Unhappy Once upon a time I was happy with newshunt.. But not now.. Coz d adds has become too much.. This s so ridiculous.. Every now and then d adds pops up.. Plz fix this issue..,0
Guess the game It was stupid because I didn't know some of them,0
Good Fun Good addictive fun game. Makes a nice change from other games in the same category. Was worth downloading. Annoying intrusive adverts but overall five stars thank you developers ,1
Monster hexa is a great game keeps you thinking so for my age its great,1
Spelling word Very good,1
"Save your , game does not work",0
"Nice graphics, colorful the experience is amazing Try not waste all the water, little sprays will make you way out to the top",1
Well.. It crashed when i wax building a base but you didn't hear the bad news when i got back on it didn't save also can you add mobs and railroads and minecartx too pleeeeeeeeeeaseeeee stiil awesome,1
IT'S DAMN AMAZING This app is so amazing.. It's really funny  the best way to be entertained when bored. I luv this app. I love sharing the voice effects wid my frnds,1
Awesome,1
Very good Kjdsgkj,1
Claire howard  just loves this game its my favouritr,1
Root Checker Pro on Razr Awesome app,1
Beau  richerd   dobbs.,1
"Ruined my life I started playing. Then I played some more, eventually getting addicted. I lost contact with all family and friends. Now I sit here in my dark room under  the blankets to protect me from the black demon gorillas. Thanks temple run...",0
Heart bear Love it,1
I totally love this game This game is just awesome and is perfect for anyone who wants to grow up to do fashion.,1
Great game I love plague inc because it is a challenge. It isn't easy on the hardest difficulty but if you want a quick game you can do the easy difficulty,1
It won't give me a refund,0
Block text Function disappeared after upgrade. Only block calls available.,0
1 of the best fishing knot apps around,1
My favorite game to play. Completely immersive. Love the music as well. Very challenging.,1
Dumb,0
"Pokmon for your phone... enough said.  Well worth 1.  In app purchases are less worth it, but not necessary at all.",1
So far everything is going well with the site  It's alot of fun and gives lots of coins and goes thru levels quickly.... Just started doing this game very  few days ago but I love it,1
aaaaaaaaa so irritating bad game when i was about to win a match it says error and all the time irritating adds,0
Amazing ,1
Very Boring 20 Mbs and only a bit features. this is just a waste of time.,0
"MD,AMRSANPL",1
Hell yea This game is the best f1 game on tablet so thanks for bringing it tomy life,1
"You can't select mph,uninstaling",0
"Very new to this Why isn't the main map, when you're waiting for an alert, available in landscape You do understand that windshield holders are for landscape mode, right",0
Amazing Great app. Only thing I wish it can do is go back and show full shows of smackdown or raw. If you guys get that.....app is well worth it,1
DON'T DOWNLOAD THIS. IT DOESN'T WORK. DOESN'T EVEN GET PAST LEVEL 1. YOU HAVE BEEN WARNED. COMPLETE WASTE OF 35 MEGABYTES.,0
LOVE IT SUPER GAME.................,1
"First thing, the remote isn't working... And secondly the app continuously keeps on showing ads....",0
Annoying Comments are out of order. Why change things that work fine  Almost every update requires me to relearn this stupid app,0
Samsung Galaxy Grand Prime After New Update It Has Been Freezing So Much  I Can't Press The Go Back Button Because All I Get Is  A Black Screen . I Have To Close Then Reopen Just To Continue To Play And I Love This App  Please Fix,0
Spoiler Alex is a spoiler,1
Impressed No more glitches.my android feels healthier and much much better.it was painful to use facebook apk befor itried lite version.what can i say guys.thank hou so so  much.love you,1
Samsung galaxy s4 I thought my phone was compatible but no to my vf commodore and I want to upgrade to s6 edge don't have much confidence in this app,0
It's not working Omg it was ma favourite game... After the Last updated it's not working please do something... Otherwise I will go crazy..                                                      Still u can't fix it,0
Simply superb game Awesome game,1
Great App Love the app simple and easy to use. Can we get features for the Galaxy Note Edge screen,1
Fuck of this appp Anytime it will gives same result as so many timed....i dont like it,0
"Worth every penny This game easily be my fave game in my phone. It's beautifully designed, run smoothly and has a fast loading time. Weldone guys",1
Love Carcassone And the add ons,1
Vvv Push is back omg,1
Don't download It doesn't load. Please fix it.,0
Awesome way for my friends and I to compete with each other.,1
Iloveddddd It Its a very nice game,1
Self promotion This app sends out way to much self promotion and begs for ratings to often  And considering I use the Pro version I really don't want self promotional messages from it,0
Draughts It's really cool,1
Why deer hunters preparingloading is so slow..   And stuck Please fix this and i rate you 5 str.,0
"What a joke ads after every completed page.  Useless for a child,  Uninstalled before even showing my 2yr.",0
"virtual d jay DJ,developer's",1
Man what happened.... Use this app all the time for when I do billboard installs. Keeps reverting to auckland... Be alright if I didnt live in Hamilton... Super frustrating,0
"Perfect This is a perfect reproduction of the board game, more board games need to be made into apps.",1
Nice Navigator Really handy App for qatar residents,1
Sonic still got it Christian Whitehead don't stop on what you're doing and keep making the best versions of everyone's favorite blue hedgehog,1
T Good,1
"Paid for app with adverts Would be a 5 star rating if it wasn't for the in game adverts If I've paid for the game, I would expect there to be no adverts.",0
can't choose letters same problem everyone else is having most letters are greyed out should of listened to the reviews but that's what the refund button is for,0
Haven't play yet I got it for my five year old son I think I will like it.,1
I totally LOVE this game its awesome all the people should get this game right now because it will be the best game you'll ever have every body who's had the game LOVES IT MUST GET NOW    GET NOW ,1
So bad game don't download please,0
Best game ever Really great developers who keep updating their game Just buy this game you won't have any regrets,1
Brilliant little game.,1
Great App Definitely worth the price to upgrade. Helps guide me through my workout. Daily programs are effective and easy to follow.,1
Great app Without doubt the best Gautrain app. Unfortunately the bus routes are not shown on the map anymore since the latest update.  I like the new pins for the bus stops though.,1
Virus All these new improvements and u can't fix the fact your notifications make it impossible to do anything on your phone for 10 min. I have turned off notifications both in game and in settings and still have notifications. Virus,0
WHAT A GREAT GAME not easy nor hard,1
Alphabets Loved it,1
Won't let me play When I click play game it shows me Help Wanted and it loads and puts me in my home screen... REALLY Plus I am not scared of 5 nights at Freddy's l,0
Wow just love,1
Great You Can Watch This On YouTube If You Want To See The Movements .Commented by To MaMa,1
Best game of the year Good game. Nice characters for dance . good luck with the latest version of the year. I loved the game. The comments for your help.,1
Game is broken When I beat my high score I cannot continue playing..... Please fix this,0
It only has two lame levels that make you want break your phone when you mess up. There's better apps that cost a buck,0
"Not bad The only problem I have is that after downloading a manga, there would be a few pages and sometimes chapters missing. But other than that its ok.",1
Elmient Great application..,1
don't have search option plz how I can search place,0
Uninstalling I can't play because of The pop ups FIX,0
"This app stops and freezes to many times...taking back my rating of 5...now rated 1, and deleting app.",0
Best phone game Works on little smartphone as well as on a tablet.  There's endless hours of fun here.  Thanks guys.,1
Hey I love that soooooooooooooooooooooooo much,1
Luck by,1
Great game One issue so far is my galaxy note 3 will run hot playing this after some time.,1
"Help I rest my phone to factory reset, And I tried to install it again it keeps saying checking licence.",0
Would give better I love this game but since the last update I can't play. Will give 5 star if they can fix that problem,0
I love this game I love how it makes me use my brain And of course....I ABSOLUTELY LOVE DEMOLISHING MY LOVED ONES MMMWWWWHAhAhAhA Nah I'm jk This game really is too much fun though,1
Joy to play and learn a few songs,1
Helps when u just have to gamble Good entertainment,1
Telltale does it again But can't install epidsode 3. So far amazing script and graphics. Real smooth on my HTC one m8. Complaint the 3rd epidsode will not download on my galaxy s6.,0
Cool game Love it,1
"Overpriced I get a 15 Google play card and pay 5 for game, and I don't have enough for the season pass Wtf 20 for a phone game is just ridiculous.",0
Amazing Very enjoyable game . I hope that you will add more levels .,1
Mixer To many pop up adds,0
Fantastic but i don't  like to buy and i remove it,1
WSL Best app forever,1
Doesn't work on Oneplus One I love the game..but is not working on my Oneplus One The same with the final fantasy II,0
Amazing,1
HATE IT HOW ARE WE SUPPOSE TO HAVE FUN WHEN IT TELLS US WHAT TO DO,0
AMAZING Almost better than minecraft. I know the creators of survivalcraft are working super hard but if there is any room to add in multiplayer and also to tame wolves that would be great.,1
So much fun I have 4 tables and love every one.  Deadpool is so funny..,1
"Skate cruser Its awesome,its enjoyable guys",1
My son goes crazy for this app. He loves it .,1
Love ur games Thank you after update played like a dream ,1
Great but needs another update I love it but need new update    please update the people saying ad problems guess what retards I have no ads and I have this version what a shame you guys. I hate it and love it plz make new update badly,0
"It won't load properly on my android tablet, I can hear the music but the screen is blank My 3 year old is really disapointed .",0
Ye shall not the intended recipient 850. I have a great deal with. This was my fault fo a,1
"Perfect I love this game. No problems with it, and I love the design of it. I highly recommend this app to anyone looking for a fun yet laid  back game to play. You won't be disappointed. I promise.",1
Crap widget that does NOTHING good Don't waste your money people  this app may look pretty but it is totally USELESS. It simply doesn't update the time. Style over substance USELESS USELESS USELESS  Can I have my money back please,0
"Game sucks The graphics suck,the animations suck and the price rust for pc is better than this way better than this I want a refund this game is 3.80 do not buy this app",0
"I have a cheat you can use If you don't want your family following you, just feed them and leave the nest before they finish eating. Hope this helped",1
Zero stars  ads in paid version I will never buy an app from you again.,0
Good,0
Would not load on Samsung tablet. This sucks,0
Samsung Galaxy Tab 4 Love this game. But every now and then it crashes at boot up. UPDATE Fixed crash at boot up. Game runs smoother now then it ever has. And the payouts are awesome. Thank You,1
Mr Gary Lee Ok well thanking you very much please I would want to like to tell us if you can't even use the language you wood choice not by force be over this Gary.,0
1010 will get zapped and put in a pool of what I can only imagine is the blood of a thousand innocent dolphins by a wizard again,1
Best thing ever I love it but one thing I want cost money but the game  is grea t It also is great because of the best thing there is       toot toots     written by tana,1
Too many ads close to the game Dont want ads sitting ontop of game. Distracting. Deleted,0
Giving it a go,1
Gee Amazing,1
Spades game is the best,1
I loved it but I wish that you can grow Drako help.,1
Not realistic Horrible physics and game in general is dumb.,0
Lame lame lame lame lame Crappy,0
Good Nice,0
Mahank76 Alsome,1
Nice graphics Good app for my kids. They can learn animal sounds while having fun,1
My 6 year old loves this so much we've put it on all of our tablets,1
It's not dot to dot It's not the game for me,0
It sucks,0
How i like it The game itself is exactly like the pc version but some differences but it doesnt matter because games are ment for fun for me,1
This game is awesome. You can learn more spelling and vocabulary words,1
Excellent hidden object adventure  very addictive I hope you add more levels to it,1
Brilliant My 3 and 8 year old both love this. Simple to use. They create little animated drawings which Dip Dap interacts with. Keeps kids entertained for ages and no adverts. Bargain,1
"No longer working My daughter used to love playing this game, but since my Samsung Galaxy tab S tablet has been updated to Lollipop, this app no longer works. It starts up, gets to the splash and then crashes....please fix",0
I love it ,1
Great app Has more features than any other for wifi tethering including Foxfi like ability to change channels. Well worth the cost.  Customer support is also quick.,1
Lovvvve ittttttttt T'siay wesomeaay,1
"Waste of my money Covers no where near where I live, typical of all nz based weather reports, funnily overseas based apps do a better job",0
Is this an under maintenance we return in 2 hours since this morning I saw this I wanted to work I want to play Fix it please i love playing,0
Why love it I love it. Because of the easy way to get the high score,1
Kids love it Pretty fun game,1
Love.  This.  Game This.  Game.  Is. Good. And. Fune.  Good. Job.,1
Right analog spoils the whole experience The right analog stick is not working. Can't look around. Why on earth would I keep on buying modern combat games,0
Ok but it won't let me play the mini games,0
"Monopoly millionaire Not like the original board, really frustrated. Going to get original game now.",0
"Awesome app maggots If you like the gunney, you will love the app.",1
"I had to get a new phone, just downloaded the game on the new phone, and connected it to my FB again,  everything from before is gone. I'm not starting a over again. I want my old stuff back",0
"Bad always bug Its cool your games release evey months,but too bad evertime I buy, always have bug.And this time,after julia taking julia in a party, it have bugs which EVERY STEP I TAKE, it went to battles.WTF please fix this Not worth of paying",0
 Less stress,1
So cool Love it,1
Please fix bugs Unable to set minutes by typing them in. Sound is way to quiet needs to be adjustable.,0
This game sucks.. It won't let me use any of the tools provided .,0
ohno the Princess is in trouble,0
Top,1
I like it a lot I like that you can go on different world is better than the other one but what I don't like is that you have to pay for the other one like the snow one is free and I like that you can play multiple players and .,1
Awesome Thanks for giving me some incredible insight. 100 Worth it if you're a serious BlackJacker,1
Cool Had app before was very useful and accurate,1
Hated it Beware if you skip it takes away points and some pictures do not match the actual movie like lion king and terminator dont match at all,0
"Great D  D style game Worth every penny, easy to get into, brilliant",1
Louise Frederick Very entertaining and addictive.,1
Gym app V. Good. Darecsne,1
"Great game Unlike many other games that depend on luck to win, Flow challenges your mind and you know there is always a solution.  To me it is a way to keep my mind sharp while also being calmly soothing.",1
"Funny This app makes me laugh way too much, totally worth every penny D",1
"This is amazing,play let It go on a piano,how cool is that Your kids will love it.It's good for your kids to learn how to play a piano age 3 to 8 years old Shelby Denise Longwell I'm a kid",1
I brought the whole  thing now its saying i have to buy again wtf,0
Finally Finally get this game after so many weeks.. Best turn based strategy game I have played..,1
Dont even know why I wasted my time on this,0
"Not so Pro anymore It's been two years and nothing has been done to update,  upgrade or improve upon this app. Most disappointing, shows a lack of motivation, with a great deal of laziness from the developer. There is no reason or excuse for this.",0
Wonderful free App Got home late tonight  all the flood lights were out at our apartment. Remembered I had the flashlight app. Just like having the flood light on the building. Will keep this all the time to use.,1
Won't work Love the game on my phone but I can't seem to get it to work on my Nexus 9,0
SuperBright LED Flashlight Android version. I don't see well in the dark and having my phone light up the way is simply  great.,1
Xoxo This is very nice game,1
"Best mahjong I've played Varied tile sets and background are great, and I love having the option to show or hide the timer.  Nice music, smooth interface, great variety of boards  excellent",1
Wonderful,1
Connection Problem I can't ever play the game cause theirs a connection problem,0
This app is bull The only thing free about this app is the download.  You need to pay just to see who want to meet you.  Just be straight forward and charge in the beginning.  LIES ALL LIES,0
"What Why is this game nothing like the advert put up on facebook It's not even similar, I didn't even play into much if you have to use another games footage to sell it, well it can't be that good.",0
BOOOOOOOOORRRRRRIIIIIIINNNNNNNGGGGGG No. I WANT MORE mosaic YOU MAKERS HAVE SCARY SONGS ON NUMBOR 6,0
My jetpack profile is safe Was a pain to get working on one phone but that's Sony's. Excellent app. Very happy.,1
Time passer Fun way to pass time. My only suggestion would be to make it so the player can choose where they want to put the letters.,1
E Friboi essa App,1
My daughter loves this app. She isn't even 2 and navigates her way around perfectly. She as learned so much and more.,1
Working again Really happy with how quickly the developer fixed the issues with the previous updates.  The application is now as awesome as it used to be.,1
My favorite game I've become an addict to this game.  Keeps the mind stimulated and has its challenges.,1
Really good,1
Great Game Love it Played it once can't stop playing it now. So addicting,1
Horrible Don't ever pay this game because it doesn't have so many opened,0
"Does not connect with my controller I bought a Moga Hero Power, and this game will not read it.",0
Its fine but i cant turn off notifications Need an option to shut it up.,0
Great,1
Inuseful swaps tool I need to keep recreating the swaps file whenever  I reboot my phone,0
Worst game for rs 125. I want my money back. Please don't download this game.,0
I love it because it is free Ariel esparza,1
I like it soooooo much Soooooo awesome,1
"The Best Running or Walking App I love this app, it is accurate, idk, just keeps me motivated and on track. I also love the live cheering section, make me wanna push harder.",1
WON'T REINSTALL AFTER PURCHASED DO NOT PAY FOR THIS APP I went to reinstall and it has no open.,0
"Great game This game brings me back to my childhood,where it was worth spending time leveling up your characters Go Sabin Bought this game in 2014, had some bugs, hopefully all fixed now in the 2015 update",1
If I could I would give it zero. Gives you little amount of tokens and cheats at tournaments. Don't waste your time.,0
Loving the new best game Cool game I ever ed play ed in my hole life even in my it's awsome awsome awsome I love it somuch,1
Great game Fun graphics,1
Good With good fps and graphics this game is really fun. Can easily play on the highest graphics,1
Lol Ads in a paid game.,0
This Sucks  I thought you can have babies like in the Sims free play. WELL NO IT DOESN'T I wanted to make a baby and I can't this needs some more family members,0
3d class No 3d only chess ,1
"Perfect Really useful app for a trip to NYC, I found myself using it all day, I really wouldn't have survived if it wasn't for this app.",1
"My daughter loves this game, highly recommend",1
"Awful Terrible app. And, lots of you are idiots,,, there phone Where phone,,,,,, try their phone. And no it does not work. Intrusive obnoxious adds. The only thing it is good for  is add spamming, which it is very effective at.",0
"Love it I can do this while I waiting, time flies.",1
Worth the money This game may not have all the events available on other games but it doesn't have any problems with downloading and using that I have discovered. It is fun and worth the money.,1
"Not at all what I expected The pictures had nothing to do with the game, and all you could do really was add colors. Everything on there is locked almost. I would not suggest in installing it.",0
Error It has been saying error for what seems like a couple months before it worked fine  then today I deleted it and reinstalled it and it won't let me log in,0
s4 It is slow passed the days need to be a bit long and the lighting with the gloom is excellent but it just so dark,1
"I dont see how people vote this down, i mean ... it's a flashlight. The only 1 stars come from people with screwed up devices. THEY ARNT EVEN REVIEWING THE DAMN APP. 5 stars since it does the job  at giving my friend a sisure",1
How can u judge from the  names of persons that they will have baby in their future r not Its fake..,0
Hi nice MGS,0
GREAT GAME It's great game that u can go to when u have no wifi  But I just think u should be able to change the music because it gets quite annoying after a while of playing'',1
"Wow I have used many games, but this is the 1st good game I have in my phone.",1
"Brilliant Loved this game , great puzzles and challenges . Really need a follow up  ",1
Best game for kbc players and kids I love it  It's true that same questions are asked but its interesting game,1
"Really love this game i honestly enjoy this game a lot only thing that bugs me is the drifting looks kind of funny, but good job revolution fist",1
Bakwas ha,0
Great fun Well produced and great fun to play.,1
"Force Close During StartUp Its bad, pay for the apps but can't use this. This game force close during start up. Please fix it because i pay the apps.",0
"Star Walk Was a great app but doesn't work after latest update, just hangs despite uninstalling and reinstalling. Appear others are getting similar issues.",0
loved it so much,1
It downloads  but then it tells me error cant download . ive tried 4 times and still  nothing . how can i get my money back,0
This game us the best game on the phone,1
"I like it. I agree to most reviews like ads , batsman going away in field, game suddenly stops working... Improve all this. No sachin in squad, yuvraj....add them please. One more thing. Add test match too....",0
"Great Application My 9yr old, 6yr old and 1yr old seem to be very fascinated with this application.",1
"Greed spoilt it When I paid for the game it was to get rid of ads, yet now they are back Do we get a refund",0
Good fun game After about a year of not playing I have begun playing again. This is the best slot game I have ever played. Tech support is super fast at resolving issues.,1
"Good app This app does the purpose it was designed for. No advertisments, no loading, no B.S. It gives you light with a flick of the switch.",1
Love this game Addicted. FUN  FUN FUN,1
"Sucks This game sucks, it crashes everytime i touch the string. Fuck off tiny spider",0
"5 month and 3 yo love it Very bright, fun, and easy to use",1
Puzzles were not well thought out.,0
Brilliant in its simplicity. Not to mention addicting.,1
Good to baby,1
The worst sat navigation application Better buying a standalone sat nav than this application.  Every response from the development team is exactly the same message must be a generic message,0
Easy and Quick Use Absolutely love this app Extras that are great have been added with no bug issues or slow down issues,1
That game sucks more than anything It wouldn't let me refund or play it froze for me I would not donload it if I was u,0
Awesome I love star wars so this is a really good Mobil game love it five stars,1
"I really enjoy this app for my child, its a great way to play and learn. I will say so far a few items have frozen making it difficult nearly impossible for him to finish a level. Please fix this problem",1
I haven't get recharge but hope I will get my recharge that's why I my giving 5 stars,1
JAI SHREE RADHEY This game is  fantasticcccc,1
Great game buta bit hard,1
bad keyboard ever. it doesn't work don't install this app.,0
Ok... Its an ok game...i paid for the upgrade because it said I would be able to play live with other ppl HOWEVER that was a lie.  U cannot Dont pay for upgrade,0
It does not make sense The graphics and the game on its own has problems,0
More of an inconvenience I used to use this on my galaxy s3 and it worked perfect. Now on my note 4 it doesnt load the cinema layout. Kinda pointleas having an app thats making your life more inconvenient Fix please,0
Kids learning alphabet and numbers Thumbs up,1
Love this game but when you go to the million dollar final round the game won't let you use any life lines,1
Joshua WEV 50 QOOL,1
"Won't let me play It won't let me play as guest and even I created and verified a new account, it always says kid.invalidpassword even if I really entered the correct password many times, It still won't let me sign in",0
It so bad I cannot  this I say do not download it,0
"So Much Fun This game is so much fun. At first I wasn't sure cut it took so long but once you have lots of games going at the same time, it's really cool. You always have a turn waiting and it's a great time killer.",1
"Broken on Lollipop As many others have already said, this app doesn't run on Nexus 7 Lollipop. Please can it be fixed",0
Best car game I've played so far It just needs more car and levels,1
Premium version with ads. Complete waste of money... Paid for non ad and still get ads.,0
Nice App My son loves this app. And I love that it doesn't require anything for you to use it. The last preschool game app,1
"Don't waste ur time Labeled incorrectly, offkey, and missing many sounds. How can C4 labeled G4 be the same sound as A3 labeled E4",0
Wolf crap Doesn't  pay what ever bet. Yer heaps little wins. Often wins smaller than smallest bet. Played for 5 minutes ready to uninstall.,0
"Deserves zero stars Dont waste your time with this app, press back and download something else. There were way to many ads in my notifications. Uninstalled.",0
Best Ive loved this game forever just never really had it for a long time thoe,1
"Unfair business practices I paid for all of the levels in this game and I had to Uninstall and reinstall the game, and now you want me to pay for the levels again You either give me the levels I paid for or I will complain to the BBB",0
Dipdap Black screen not working on galaxy s,0
"More about advertising than gaming This shitbag of a driving game is an embarrassment but dare I say, par for the course these days. Wadding through 68 ads before even a hint of driving was a downer too. Avoid, unless into self flagellation.",0
Well it worked ans good It waa worth to bought it rather than amc delete your umportant data.,1
"Seriously Ok,at first it worked but the second time it didn't work ",0
A MA ZING I don't like it I LOVE It  ,1
So fun Love this app great for entertainment while waiting in long lines,1
I love this app. This is the best comic reader around. Recent fix on crash and hang issue has been great. But page turning is a pain now.,1
 Its the worst game I ever played i even cant control the ball,0
Bike racing The game is okay but directing the driver is a prblm wtht the arrws,1
One of the best apps. Certainly most beautiful one Wish there was more,1
Anan Its awesome  Amazing game ... Loved it ..totally addicted ... But i want more money .. Do u have any shortcut to get money and weapons ,1
"Own all, but not this one Dumb. Disappointed. Refund",0
"What is this crap How is this game even in the store The balls are squares with a circle in the middle, this is so weird and stupid. Not smooth at all",0
Love it Awesome game I can't stop playing,1
Fazool,0
Bu wek nk muntah,0
"AWESOME I LUV this thing Well, it's way better on the Internet, but still I also really did a good job on my reading test, too ",1
Bug Use to work but developed a bug somewhere along the way. Can't select teams only the margin.,0
Good game Good,1
It doesn't even work I click on the app and it won't load or anything it just freezes,0
awsome cool           .,1
It rocks Well worth the price hopefully the sequel includes more special abilites maybe armor and online coop would be rad. Voices speaking the storyline would be cool too.,1
"SO BAD very long, it makes me wait. This game seems ugly, many bad comments about this game. perhaps, you have to repair the damage or delay in this game. so that the users feel comfortable, and make this game great. and perhaps, not discard quota",0
No offline I don't have WiFi even though I want it bad,0
This is amazing train Ilove 3d in a train or lrta or mrt,1
"Lost coins Excellent game but lost 750,000 coin that I paid for after the game kept crashing and I had to re install...will re rate of problem is addressed.",0
Unknown error Ever since my phone updated to kit kat I can't install it.  Unknown error code 24 is what I get.  I can't install it.,0
This is fun you can design your own cake,1
Don't waste your time This game is not good. Players minimum bet lost all my coins with in 5 minutes,0
Wheel of fortune Great,1
"Really My partner will not only throw off on a trick when he's the last to play encode trump,  but called a loner with 3 trump and no bowers. Can't you fix these glitches If you like this version try tricksters,  you'll love it",0
Waste of time Take too long u have to tap twice. This game has too many ads poping up at the bottom with blinking lights,0
"Best Game of Disney This game is amazing,  graphics, story line. I wonder Y people say that the control is not good. It worth is buying.",1
very good Its make the children to know the stories of birbal and akbar,0
Down Hill Was such a good game with smooth graphics but since recent updates graphics are patchy some daily missions won't load and targets don't appear in some games as it times out. Please fix these bugs.,0
"Great In app purchases but great, simple game",1
Great Great,1
5 for 100pts...seriously Check out ng check out.. check in nalang,1
IDK It takes for ever my connection is connected but iy says its NOTSO,0
Great app Thanks so much whoever made it,1
